id,SURFACE_TY,REGION,YR_SURF,Metric,OCI
0045P-Both-425,Asphalt,3,2003,OCI_04,95.1216
0045P-Both-429,Asphalt,3,2005,OCI_04,88.06
0045P-Both-427,Asphalt,3,2008,OCI_04,86.61484
0045P-Both-428,Asphalt,3,2008,OCI_04,83.92222
0045P-Both-426,Asphalt,3,2007,OCI_04,85.32699
0046P-Both-424,Asphalt,4,2012,OCI_04,74.19036
0046P-Both-495,Asphalt,4,2006,OCI_04,74.19036
0046P-Both-423,Asphalt,4,2012,OCI_04,74.19036
0046P-Both-488,Asphalt,4,2009,OCI_04,80.03808
0046P-Both-554,Asphalt,4,2012,OCI_04,74.19036
0046P-Both-581,Asphalt,4,2009,OCI_04,80.15098
0048P-Both-525,Asphalt,2,2009,OCI_04,87.95221
0048P-Both-553,Asphalt,2,2011,OCI_04,91.0327
0048P-Both-529,Asphalt,2,2001,OCI_04,89.14679
0048P-Both-494,Asphalt,2,2011,OCI_04,93.8429
0048P-Both-571,Asphalt,2,2012,OCI_04,94.37889
0048P-Both-594,Asphalt,2,2009,OCI_04,91.8383
0048P-Both-606,Asphalt,2,2012,OCI_04,94.86598
0050P-Both-486,Asphalt,4,2005,OCI_04,93.16716
0050P-Both-580,Asphalt,4,2011,OCI_04,91.92271
0050P-Both-582,Asphalt,4,2012,OCI_04,90.22999
0050P-Both-478,Asphalt,4,2011,OCI_04,84.12566
0050P-Both-552,Asphalt,4,2011,OCI_04,90.22999
0050P-Both-607,Asphalt,4,2011,OCI_04,90.22999
0050P-Both-487,Asphalt,4,2012,OCI_04,90.22999
0050P-Both-604,Asphalt,4,2012,OCI_04,92.22519
0050P-Both-509,Asphalt,4,2005,OCI_04,94.53418
0050P-Both-605,Asphalt,4,2008,OCI_04,96.09559
0051P-Both-602,Asphalt,3,2007,OCI_04,77.62411
0052P-Both-601,Asphalt,3,2012,OCI_04,86.83929
0052P-Both-598,Asphalt,3,2011,OCI_04,98.09244
0052P-Both-600,Asphalt,3,2011,OCI_04,92.07304
0052P-Both-599,Asphalt,3,2008,OCI_04,97.36374
0053P-Both-595,Asphalt,1,2004,OCI_04,87.5
0053P-Both-596,Asphalt,1,2006,OCI_04,91.17308
0053P-Both-597,Asphalt,1,2003,OCI_04,95.23333
0054P-Both-593,Asphalt,3,2010,OCI_04,94.27798
0055P-Both-592,Asphalt,4,2009,OCI_04,87.4963
0056P-Both-579,Asphalt,4,2009,OCI_04,89.56463
0056P-Both-588,Asphalt,4,2012,OCI_04,81.43476
0056P-Both-590,Asphalt,4,2012,OCI_04,81.43476
0056P-Both-589,Asphalt,4,2011,OCI_04,81.43476
0056P-Both-591,Asphalt,4,2011,OCI_04,81.43476
0056P-Both-587,Asphalt,4,2011,OCI_04,81.43476
0056P-Both-583,Asphalt,4,2005,OCI_04,94.08247
0056P-Both-586,Asphalt,4,2012,OCI_04,81.43476
0056P-Both-584,Asphalt,4,2005,OCI_04,90.73627
0056P-Both-585,Asphalt,4,2009,OCI_04,83.07902
0057P-Both-578,Asphalt,4,2003,OCI_04,90.86939
0058P-Both-577,Asphalt,2,2010,OCI_04,93.32938
0059P-Both-574,Asphalt,4,2012,OCI_04,86.08611
0059P-Both-575,Asphalt,4,2012,OCI_04,86.09465
0059P-Both-576,Asphalt,4,2011,OCI_04,87.56259
0060P-Both-573,Asphalt,1,2011,OCI_04,77.10833
0060P-Both-570,Asphalt,1,2003,OCI_04,95.7
0060P-Both-572,Asphalt,1,2002,OCI_04,79.22657
0061P-Both-568,Asphalt,1,2005,OCI_04,77.13825
0061P-Both-569,Asphalt,1,2005,OCI_04,77.13825
0062P-Both-567,Asphalt,4,2012,OCI_04,76.06825
0062P-Both-565,Asphalt,4,2012,OCI_04,76.06825
0062P-Both-562,Asphalt,4,2007,OCI_04,80.42949
0062P-Both-566,Asphalt,4,2011,OCI_04,76.06825
0062P-Both-563,Asphalt,4,2010,OCI_04,81.7324
0062P-Both-564,Asphalt,4,2009,OCI_04,76.30833
0063P-Both-561,Asphalt,4,2012,OCI_04,86.60285
0064P-Both-560,Asphalt,4,2007,OCI_04,84.35199
0065P-Both-551,Asphalt,1,2005,OCI_04,72.41491
0065P-Both-559,Asphalt,2,2003,OCI_04,86.37919
0065P-Both-555,Asphalt,1,2005,OCI_04,72.41491
0065P-Both-558,Asphalt,2,2003,OCI_04,89.23402
0065P-Both-556,Asphalt,1,2005,OCI_04,81.25849
0065P-Both-550,Asphalt,2,2011,OCI_04,96.16095
0066P-Both-549,Asphalt,1,2005,OCI_04,83.14853
0066P-Both-547,Asphalt,1,2005,OCI_04,83.14853
0066P-Both-548,Asphalt,1,2005,OCI_04,83.14853
0067P-Positive-545,Asphalt,1,2007,OCI_04,0
0067P-Positive-544,Asphalt,1,2007,OCI_04,0
0067P-Positive-546,Asphalt,1,2007,OCI_04,0
0068P-Both-537,Asphalt,3,2011,OCI_04,89.09294
0068P-Both-524,Concrete,2,2001,OCI_04,88.57924
0068P-Both-530,Concrete,2,1997,OCI_04,91.55246
0068P-Both-531,Concrete,2,1997,OCI_04,89.81264
